S,D,SD,rho_avg_biased_mean,rho_avg_biased_std,rho_avg_biased_mcse,rho_irt_biased_mean,rho_irt_biased_std,rho_irt_biased_mcse,delta_rho_mean,rho_avg_mcar_mean,rho_avg_mcar_std,rho_avg_mcar_mcse,top_misrank_rate_biased,top_misrank_rate_mcar,n_seeds,n_irt_converged
0.15,5.0,0.75,0.9814,0.0165,0.0043,1.0,0.0,0.0,0.0186,0.9852,0.0141,0.0036,0.0,0.07,15,15
0.2,0.5,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9984,0.0041,0.0011,0.0,0.07,15,15
0.2,1.0,0.2,0.9992,0.003,0.0008,1.0,0.0,0.0,0.0008,0.9984,0.0041,0.0011,0.0,0.0,15,15
0.2,1.5,0.3,0.9952,0.0097,0.0025,1.0,0.0,0.0,0.0048,1.0,0.0,0.0,0.0,0.0,15,15
0.2,2.0,0.4,0.9976,0.0048,0.0013,1.0,0.0,0.0,0.0024,0.9976,0.0048,0.0013,0.0,0.0,15,15
0.2,2.5,0.5,0.9935,0.0098,0.0025,1.0,0.0,0.0,0.0065,0.9935,0.0087,0.0022,0.0,0.07,15,15
0.2,3.0,0.6,0.9919,0.0096,0.0025,1.0,0.0,0.0,0.0081,0.9903,0.011,0.0028,0.0,0.0,15,15
0.2,3.5,0.7,0.9927,0.0074,0.0019,1.0,0.0,0.0,0.0073,0.9871,0.0143,0.0037,0.07,0.0,15,15
0.2,4.0,0.8,0.983,0.0139,0.0036,1.0,0.0,0.0,0.017,0.9806,0.0131,0.0034,0.0,0.13,15,15
0.2,4.5,0.9,0.9806,0.0176,0.0045,1.0,0.0,0.0,0.0194,0.9733,0.0173,0.0045,0.07,0.0,15,15
0.2,5.0,1.0,0.9717,0.0201,0.0052,1.0,0.0,0.0,0.0283,0.9749,0.0162,0.0042,0.07,0.0,15,15
0.25,0.5,0.125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9976,0.0048,0.0013,0.0,0.07,15,15
0.25,1.0,0.25,0.996,0.0057,0.0015,1.0,0.0,0.0,0.004,0.9984,0.0041,0.0011,0.0,0.0,15,15
0.25,1.5,0.375,0.9976,0.0048,0.0013,1.0,0.0,0.0,0.0024,0.9984,0.0041,0.0011,0.0,0.0,15,15
0.25,2.0,0.5,0.9976,0.0048,0.0013,1.0,0.0,0.0,0.0024,0.9935,0.006,0.0016,0.0,0.0,15,15
0.25,2.5,0.625,0.9935,0.0075,0.0019,1.0,0.0,0.0,0.0065,0.9935,0.0087,0.0022,0.0,0.0,15,15
0.25,3.0,0.75,0.9887,0.015,0.0039,1.0,0.0,0.0,0.0113,0.9871,0.0156,0.004,0.0,0.0,15,15
0.25,3.5,0.875,0.9875,0.01,0.0026,1.0,0.0,0.0,0.0125,0.9838,0.0151,0.0039,0.07,0.0,15,15
0.25,4.0,1.0,0.9838,0.0145,0.0037,1.0,0.0,0.0,0.0162,0.9814,0.0192,0.005,0.07,0.07,15,15
0.25,4.5,1.125,0.9586,0.0246,0.0064,1.0,0.0,0.0,0.0414,0.9774,0.0139,0.0036,0.07,0.0,15,15
